,text,public_metrics,id,entities,created_at,context_annotations
0,@benthompson @GavinSBaker @modestproposal1 ben - what tool do you use to make the diagrams? thanks.,"{'retweet_count': 1, 'reply_count': 11, 'like_count': 64, 'quote_count': 2}",1344326877041860608,"{'mentions': [{'start': 0, 'end': 12, 'username': 'benthompson'}, {'start': 13, 'end': 25, 'username': 'GavinSBaker'}, {'start': 26, 'end': 42, 'username': 'modestproposal1'}]}",2020-12-30T16:57:58.000Z,
1,@traderider Mars.,"{'retweet_count': 17, 'reply_count': 51, 'like_count': 1394, 'quote_count': 5}",1344307792564391938,"{'mentions': [{'start': 0, 'end': 11, 'username': 'traderider'}]}",2020-12-30T15:42:08.000Z,
2,"When $BTC gets to $150k, I will buy The Hamptons and convert it to sleepaway camps for kids, working farms and low-cost housing.","{'retweet_count': 1775, 'reply_count': 1260, 'like_count': 24774, 'quote_count': 449}",1344306851891056642,"{'annotations': [{'start': 36, 'end': 47, 'probability': 0.3271, 'type': 'Organization', 'normalized_text': 'The Hamptons'}], 'cashtags': [{'start': 5, 'end': 9, 'tag': 'BTC'}]}",2020-12-30T15:38:24.000Z,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596794716162', 'name': 'Financial services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1007360414114435072', 'name': 'Bitcoin cryptocurrency', 'description': 'Bitcoin Cryptocurrency'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847888632711061504', 'name': 'Personal finance', 'description': 'Personal finance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
3,@ParikPatelCFA @iancassel Dad?,"{'retweet_count': 3, 'reply_count': 13, 'like_count': 275, 'quote_count': 0}",1344303768716922880,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ParikPatelCFA'}, {'start': 15, 'end': 25, 'username': 'iancassel'}]}",2020-12-30T15:26:09.000Z,
4,@bitcointozero @ParikPatelCFA trench too small,"{'retweet_count': 1, 'reply_count': 7, 'like_count': 53, 'quote_count': 0}",1343926024812318723,"{'mentions': [{'start': 0, 'end': 14, 'username': 'bitcointozero'}, {'start': 15, 'end': 29, 'username': 'ParikPatelCFA'}]}",2020-12-29T14:25:07.000Z,
5,@ZLCap Nope. 🥲,"{'retweet_count': 0, 'reply_count': 10, 'like_count': 77, 'quote_count': 0}",1343765566906101760,"{'mentions': [{'start': 0, 'end': 6, 'username': 'ZLCap'}]}",2020-12-29T03:47:31.000Z,
6,"I’m a huge fan of Gates in general but this...

WORST. SPOKESMAN. EVER. https://t.co/VCQnjv5cun","{'retweet_count': 257, 'reply_count': 516, 'like_count': 2339, 'quote_count': 46}",1343764442488725505,"{'annotations': [{'start': 18, 'end': 22, 'probability': 0.6594, 'type': 'Person', 'normalized_text': 'Gates'}], 'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/VCQnjv5cun', 'expanded_url': 'https://twitter.com/legendaryenergy/status/1343601111282888704', 'display_url': 'twitter.com/legendaryenerg…'}]}",2020-12-29T03:43:03.000Z,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
7,@ParikPatelCFA Love you pita.,"{'retweet_count': 3, 'reply_count': 16, 'like_count': 369, 'quote_count': 3}",1343626570397790208,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ParikPatelCFA'}]}",2020-12-28T18:35:12.000Z,
8,@ParikPatelCFA I’m in the trenches relax,"{'retweet_count': 110, 'reply_count': 39, 'like_count': 1294, 'quote_count': 26}",1343625889377112065,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ParikPatelCFA'}]}",2020-12-28T18:32:30.000Z,
9,"Swagged out, for Milly we bringing them gats out","{'retweet_count': 375, 'reply_count': 294, 'like_count': 2714, 'quote_count': 168}",1343624423409115139,"{'annotations': [{'start': 17, 'end': 21, 'probability': 0.6848, 'type': 'Person', 'normalized_text': 'Milly'}]}",2020-12-28T18:26:40.000Z,
10,@StockMarketHats Yup,"{'retweet_count': 0, 'reply_count': 10, 'like_count': 69, 'quote_count': 1}",1343619555898388482,"{'mentions': [{'start': 0, 'end': 16, 'username': 'StockMarketHats'}]}",2020-12-28T18:07:20.000Z,
11,@notgregkalai Not winning,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 9, 'quote_count': 0}",1343616905375080451,"{'mentions': [{'start': 0, 'end': 13, 'username': 'notgregkalai'}]}",2020-12-28T17:56:48.000Z,
12,@ParikPatelCFA @D2X_DT2 @LIZBAZURTOG छोटा भाई,"{'retweet_count': 3, 'reply_count': 17, 'like_count': 145, 'quote_count': 4}",1343616700693045251,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ParikPatelCFA'}, {'start': 15, 'end': 23, 'username': 'D2X_DT2'}, {'start': 24, 'end': 36, 'username': 'LIZBAZURTOG'}]}",2020-12-28T17:55:59.000Z,
13,@Jason @theallinpod Savage.,"{'retweet_count': 3, 'reply_count': 19, 'like_count': 361, 'quote_count': 0}",1343386512273125377,"{'mentions': [{'start': 0, 'end': 6, 'username': 'Jason'}, {'start': 7, 'end': 19, 'username': 'theallinpod'}]}",2020-12-28T02:41:18.000Z,
