,created_at,public_metrics,text,entities,id,context_annotations
0,2020-12-31T15:38:24.000Z,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 25, 'quote_count': 0}",@themaratt @ParikPatelCFA have too many sons.  want more daughters.,"{'mentions': [{'start': 0, 'end': 10, 'username': 'themaratt'}, {'start': 11, 'end': 25, 'username': 'ParikPatelCFA'}]}",1344669239739895809,
1,2020-12-31T14:48:33.000Z,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 121, 'quote_count': 0}",@ParikPatelCFA 🥰🥰😘,"{'mentions': [{'start': 0, 'end': 14, 'username': 'ParikPatelCFA'}]}",1344656693951664131,
2,2020-12-31T14:37:19.000Z,"{'retweet_count': 3, 'reply_count': 24, 'like_count': 310, 'quote_count': 2}","We have talked with ~35 of these great folks so far and are continuing to reach out. 

We are aiming to finalize finalists in January and are looking forward to working with some of these talented folks next year. 

Happy 2021!",,1344653869285044224,"[{'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year: It’s finally 2021 everywhere!'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year: It’s finally 2021 everywhere!'}}]"
3,2020-12-31T14:37:19.000Z,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 134, 'quote_count': 0}",Education Breakdown: https://t.co/TrC81obNSb,"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/TrC81obNSb', 'expanded_url': 'https://twitter.com/chamath/status/1344653867900948483/photo/1', 'display_url': 'pic.twitter.com/TrC81obNSb'}]}",1344653867900948483,
4,2020-12-31T14:37:18.000Z,"{'retweet_count': 2, 'reply_count': 4, 'like_count': 90, 'quote_count': 1}",Age Distribution: https://t.co/5KHFxCyvnY,"{'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/5KHFxCyvnY', 'expanded_url': 'https://twitter.com/chamath/status/1344653864885170177/photo/1', 'display_url': 'pic.twitter.com/5KHFxCyvnY'}]}",1344653864885170177,
5,2020-12-31T14:37:17.000Z,"{'retweet_count': 3, 'reply_count': 3, 'like_count': 140, 'quote_count': 1}","Passion about climate change and recognition that this is one of the biggest challenges of our time was the driver for almost all applicants. 

More than half of applicants were also interested in working with us on setting up this NewCo.",,1344653861680779264,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}]"
6,2020-12-31T14:37:17.000Z,"{'retweet_count': 46, 'reply_count': 56, 'like_count': 1023, 'quote_count': 9}","Update on our Climate Change efforts: 

- 1,000 total proposals submitted
- 156 were rated ""Excellent"" and were surveyed 
- 29% were collaborative efforts
- 86% male / 14% female
- 38% non US (45% non US citizens)
- 24 countries represented
- 51% work in the private sector","{'annotations': [{'start': 189, 'end': 190, 'probability': 0.6633, 'type': 'Place', 'normalized_text': 'US'}]}",1344653860476956674,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}]"
7,2020-12-31T14:03:39.000Z,"{'retweet_count': 0, 'reply_count': 13, 'like_count': 73, 'quote_count': 0}",@origincloth @socialcapital @theallinpod 🙏🙏,"{'mentions': [{'start': 0, 'end': 12, 'username': 'origincloth'}, {'start': 13, 'end': 27, 'username': 'socialcapital'}, {'start': 28, 'end': 40, 'username': 'theallinpod'}]}",1344645396652556288,
8,2020-12-30T16:57:58.000Z,"{'retweet_count': 1, 'reply_count': 11, 'like_count': 66, 'quote_count': 2}",@benthompson @GavinSBaker @modestproposal1 ben - what tool do you use to make the diagrams? thanks.,"{'mentions': [{'start': 0, 'end': 12, 'username': 'benthompson'}, {'start': 13, 'end': 25, 'username': 'GavinSBaker'}, {'start': 26, 'end': 42, 'username': 'modestproposal1'}]}",1344326877041860608,
9,2020-12-30T15:42:08.000Z,"{'retweet_count': 17, 'reply_count': 53, 'like_count': 1493, 'quote_count': 4}",@traderider Mars.,"{'mentions': [{'start': 0, 'end': 11, 'username': 'traderider'}]}",1344307792564391938,
