,context_annotations,created_at,text,entities,id,public_metrics
0,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}]",2020-12-31T04:24:43.000Z,This is amazing! https://t.co/7Y72pnGGgt,"{'urls': [{'start': 17, 'end': 40, 'url': 'https://t.co/7Y72pnGGgt', 'expanded_url': 'https://twitter.com/yung_spielburg/status/1344464309695389697', 'display_url': 'twitter.com/yung_spielburg…'}]}",1344499702562222080,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 15, 'quote_count': 0}"
1,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '825047692124442624', 'name': 'Food', 'description': 'Food'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '860133563332648963', 'name': 'Cuisines', 'description': 'Cuisines'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '860135363901128705', 'name': 'Cajun and creole', 'description': 'Cajun and Creole'}}]",2020-12-30T16:28:22.000Z,"This article tells you a lot about what’s happening in SF. The city is being preyed upon by serial recidivist offenders but DA Boudin (who abolished cash bail) can only bring himself to call them “prolific folks” and wants to address with social services 

https://t.co/3Yhkve6CQw","{'annotations': [{'start': 55, 'end': 56, 'probability': 0.7796, 'type': 'Place', 'normalized_text': 'SF'}], 'urls': [{'start': 257, 'end': 280, 'url': 'https://t.co/3Yhkve6CQw', 'expanded_url': 'https://www.sfexaminer.com/news/prolific-offenders-help-drive-46-surge-in-sf-burglaries/', 'display_url': 'sfexaminer.com/news/prolific-…'}]}",1344319429098807296,"{'retweet_count': 41, 'reply_count': 34, 'like_count': 306, 'quote_count': 7}"
2,,2020-12-29T22:36:59.000Z,"San Francisco might as well hang a “burglars welcome” sign on the city. Even if the police catch you, the D.A. will let you go, and the court will even give you gifts cards! https://t.co/vh9KqloFX4","{'annotations': [{'start': 0, 'end': 12, 'probability': 0.937, 'type': 'Place', 'normalized_text': 'San Francisco'}], 'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/vh9KqloFX4', 'expanded_url': 'https://twitter.com/sfpdnorthern/status/1343974524774019072', 'display_url': 'twitter.com/sfpdnorthern/s…'}]}",1344049805572640769,"{'retweet_count': 57, 'reply_count': 46, 'like_count': 641, 'quote_count': 14}"
3,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1237472346560053249', 'name': 'Firefighting'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878891611865089', 'name': 'Small business', 'description': 'Small business'}}]",2020-12-28T22:41:26.000Z,"How many times does a crook have to be caught red-handed before the SF DA @chesaboudin will put him in jail? 

@FrancisSuarez do you have this problem in Miami? Just wondering. 

@recallchesa https://t.co/WhAG6guHFd","{'mentions': [{'start': 74, 'end': 86, 'username': 'chesaboudin'}, {'start': 111, 'end': 125, 'username': 'FrancisSuarez'}, {'start': 179, 'end': 191, 'username': 'recallchesa'}], 'annotations': [{'start': 154, 'end': 158, 'probability': 0.9959, 'type': 'Place', 'normalized_text': 'Miami'}], 'urls': [{'start': 192, 'end': 215, 'url': 'https://t.co/WhAG6guHFd', 'expanded_url': 'https://twitter.com/SFPDTenderloin/status/1343681499443331072', 'display_url': 'twitter.com/SFPDTenderloin…'}]}",1343688536717930497,"{'retweet_count': 5, 'reply_count': 31, 'like_count': 232, 'quote_count': 1}"
4,,2020-12-28T22:08:35.000Z,@gregmberry @Jason @msuster Does Patagonia make swim trunks?,"{'mentions': [{'start': 0, 'end': 11, 'username': 'gregmberry'}, {'start': 12, 'end': 18, 'username': 'Jason'}, {'start': 19, 'end': 27, 'username': 'msuster'}]}",1343680269279232001,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 32, 'quote_count': 0}"
5,"[{'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year: It’s finally 2021 everywhere!'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year: It’s finally 2021 everywhere!'}}]",2020-12-28T21:19:06.000Z,"@Jason @peterthiel No problem, you’re on the list for NYE 2049.","{'mentions': [{'start': 0, 'end': 6, 'username': 'Jason'}, {'start': 7, 'end': 18, 'username': 'peterthiel'}]}",1343667816633925634,"{'retweet_count': 0, 'reply_count': 6, 'like_count': 54, 'quote_count': 0}"
6,"[{'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year: It’s finally 2021 everywhere!'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1338455498958368768', 'name': 'Happy New Year: It’s finally 2021 everywhere!'}}]",2020-12-28T19:46:52.000Z,To spend the next week vacationing in Miami. See y’all next year. Have a great new year!,"{'annotations': [{'start': 38, 'end': 42, 'probability': 0.9974, 'type': 'Place', 'normalized_text': 'Miami'}]}",1343644606995587072,"{'retweet_count': 8, 'reply_count': 36, 'like_count': 640, 'quote_count': 0}"
7,,2020-12-28T19:45:39.000Z,"I have an important announcement to make regarding Miami. The climate in SF has become inhospitable for all concerned. Therefore I have decided...

cc: @rabois @shervin @FrancisSuarez 

@Jason @chamath @friedberg @theallinpod https://t.co/zFXZ2DgCYR","{'mentions': [{'start': 152, 'end': 159, 'username': 'rabois'}, {'start': 160, 'end': 168, 'username': 'shervin'}, {'start': 169, 'end': 183, 'username': 'FrancisSuarez'}, {'start': 186, 'end': 192, 'username': 'Jason'}, {'start': 193, 'end': 201, 'username': 'chamath'}, {'start': 202, 'end': 212, 'username': 'friedberg'}, {'start': 213, 'end': 225, 'username': 'theallinpod'}], 'annotations': [{'start': 51, 'end': 55, 'probability': 0.9576, 'type': 'Place', 'normalized_text': 'Miami'}, {'start': 73, 'end': 74, 'probability': 0.8214, 'type': 'Place', 'normalized_text': 'SF'}], 'urls': [{'start': 226, 'end': 249, 'url': 'https://t.co/zFXZ2DgCYR', 'expanded_url': 'https://twitter.com/DavidSacks/status/1343644300807122945/photo/1', 'display_url': 'pic.twitter.com/zFXZ2DgCYR'}]}",1343644300807122945,"{'retweet_count': 8, 'reply_count': 44, 'like_count': 525, 'quote_count': 11}"
8,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1052689248648716290', 'name': 'Chad Hurley', 'description': 'Chad Hurley'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878777191211008', 'name': 'Leadership', 'description': 'Leadership'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}]",2020-12-28T06:09:36.000Z,@Chad_Hurley @btaylor @jeffiel @rabois @JTLonsdale @Jason Mayor can’t do much. DA on the other hand...,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Chad_Hurley'}, {'start': 13, 'end': 21, 'username': 'btaylor'}, {'start': 22, 'end': 30, 'username': 'jeffiel'}, {'start': 31, 'end': 38, 'username': 'rabois'}, {'start': 39, 'end': 50, 'username': 'JTLonsdale'}, {'start': 51, 'end': 57, 'username': 'Jason'}]}",1343438936190889984,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 21, 'quote_count': 0}"
9,,2020-12-25T22:26:19.000Z,@FakeRabois Is this parody or reality? I can’t tell.,"{'mentions': [{'start': 0, 'end': 11, 'username': 'FakeRabois'}]}",1342597568157503488,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 78, 'quote_count': 0}"
