,entities,text,created_at,id,public_metrics,context_annotations
0,"{'annotations': [{'start': 25, 'end': 26, 'probability': 0.9895, 'type': 'Place', 'normalized_text': 'US'}]}","there are 3.8M nurses in US. fed govt could hire 10k nurses at $1k/day, assign them pop-weighted to congressional districts, track patients with SSNs, administer at federal sites (post offices), don’t charge. $1.2B total delivery cost.",2020-12-29T07:49:05.000Z,1343826358057627649,"{'retweet_count': 2, 'reply_count': 8, 'like_count': 129, 'quote_count': 2}",
1,,math for alternative central planning: 10k care providers give 1 dose every 3 minutes for 8 hours/day = 1.6M/day = 4 months to achieve goal...,2020-12-29T07:49:05.000Z,1343826357285920768,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 60, 'quote_count': 0}","[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1237095288671596545', 'name': 'Mathematics'}}]"
2,,"states + hospitals don’t know what to do. this likely becoming key issue in coming days. lots of finger pointing. problem may be paperwork burden, process and procedural overhead. or just complete lack of uniform planning. distribute and hope clearly not a great strategy",2020-12-29T07:49:05.000Z,1343826356052758528,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 90, 'quote_count': 0}",
3,"{'annotations': [{'start': 4, 'end': 5, 'probability': 0.9131, 'type': 'Place', 'normalized_text': 'US'}]}","the US is administering ~250k covid vaccine doses per day. we prob need to get ~100-150M ppl vaccinated = 200-300M doses = 800-1200 days at current rate. last mile clearly a problem as many doses sitting with states, who have discretion over admin process.",2020-12-29T07:49:04.000Z,1343826355121659905,"{'retweet_count': 68, 'reply_count': 26, 'like_count': 633, 'quote_count': 23}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '918538847302041600', 'name': 'Community Health', 'description': 'Community Health'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '920768310152593408', 'name': 'Common Medication', 'description': 'Common Medication'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
4,"{'mentions': [{'start': 0, 'end': 6, 'username': 'JackK'}]}",@JackK awesome. i feel like it’s finally all coming together. it needed to be in one place,2020-12-18T04:38:30.000Z,1339792130592542721,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
5,"{'mentions': [{'start': 0, 'end': 6, 'username': 'JackK'}]}",@JackK and stock prices. and all of search. v powerful,2020-12-18T04:35:37.000Z,1339791403224690688,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
6,"{'annotations': [{'start': 35, 'end': 40, 'probability': 0.5509, 'type': 'Product', 'normalized_text': '75inch'}, {'start': 58, 'end': 72, 'probability': 0.2224, 'type': 'Product', 'normalized_text': 'sony/samsung/LG'}, {'start': 125, 'end': 130, 'probability': 0.649, 'type': 'Product', 'normalized_text': 'google'}, {'start': 140, 'end': 146, 'probability': 0.6317, 'type': 'Product', 'normalized_text': 'youtube'}, {'start': 162, 'end': 168, 'probability': 0.462, 'type': 'Product', 'normalized_text': 'youtube'}], 'mentions': [{'start': 0, 'end': 6, 'username': 'JackK'}]}","@JackK there should seriously be a 75inch version made by sony/samsung/LG that i can mount on the wall. the integration with google photos, youtube and (finally) youtube tv sets it apart",2020-12-18T04:35:00.000Z,1339791248261935109,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10053298768', 'name': 'LG', 'description': 'LG'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1174344555111469057', 'name': 'Samsung Indonesia'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10052980163', 'name': 'YouTube TV', 'description': 'YouTube TV'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364234', 'name': 'Samsung '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026378521', 'name': 'Google '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026738409', 'name': 'Sony'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10027187398', 'name': 'LG Electronics'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10041893656', 'name': 'Google Photos'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10042421309', 'name': 'LG Mobile'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '10045298641', 'name': 'Samsung USA'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '848920700073123840', 'name': 'Cell Phones', 'description': 'Cell phones'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '848985956778561538', 'name': 'Mobile', 'description': 'Mobile'}}]"
7,"{'annotations': [{'start': 149, 'end': 150, 'probability': 0.5331, 'type': 'Place', 'normalized_text': 'uk'}], 'mentions': [{'start': 0, 'end': 6, 'username': 'JackK'}]}",@JackK i tell it things i want and it shows them to me. just like the holodeck. it translates languages for me. it shows me live video news from the uk. i can ask for and watch any music video i want. it has pictures of my family that can be recalled with specific words. lights on/off.,2020-12-18T04:33:59.000Z,1339790993361522690,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",
8,"{'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/CTtdHrVRWA', 'expanded_url': 'https://youtube.com/playlist?list=PLFjuhgb3UjqZFZQ6SwcBE98_qNSKyF1AV', 'display_url': 'youtube.com/playlist?list=…'}]}",these ads were so inspirational to me in high school. anyone else? amazing how they were so right and so wrong... https://t.co/CTtdHrVRWA,2020-12-18T03:59:02.000Z,1339782199181131780,"{'retweet_count': 2, 'reply_count': 7, 'like_count': 31, 'quote_count': 1}",
9,"{'annotations': [{'start': 0, 'end': 18, 'probability': 0.4557, 'type': 'Product', 'normalized_text': 'google nest hub max'}]}",google nest hub max is starting to live up to my sci-fi hopes and dreams,2020-12-18T03:29:17.000Z,1339774712000303105,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 58, 'quote_count': 1}","[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043230776', 'name': 'Nest'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026378521', 'name': 'Google '}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847868745150119936', 'name': 'Home & family', 'description': 'Hobbies and interests'}}]"
