,public_metrics,created_at,id,context_annotations,text,entities
0,"{'retweet_count': 14, 'reply_count': 11, 'like_count': 153, 'quote_count': 2}",2020-12-31T04:16:54.000Z,1344497736888958978,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '918538847302041600', 'name': 'Community Health', 'description': 'Community Health'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '920768310152593408', 'name': 'Common Medication', 'description': 'Common Medication'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]","Don’t let vaccines go to waste state leaders! 

if there is an expiration date on them just go with “anyone over 60” &amp; if no one shows up let anyone get a shot

there is no need to make this political or be precious — we will have hundreds of millions of shots available in 2021",
1,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 11, 'quote_count': 1}",2020-12-31T03:56:43.000Z,1344492656559157249,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}]",Catchy tune! https://t.co/MIf9hVttVb,"{'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/MIf9hVttVb', 'expanded_url': 'https://twitter.com/yung_spielburg/status/1344464309695389697', 'display_url': 'twitter.com/yung_spielburg…'}]}"
2,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",2020-12-31T03:54:48.000Z,1344492173199245312,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1052689248648716290', 'name': 'Chad Hurley', 'description': 'Chad Hurley'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878777191211008', 'name': 'Leadership', 'description': 'Leadership'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}]",@Chad_Hurley ⛷,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Chad_Hurley'}]}"
3,"{'retweet_count': 1, 'reply_count': 12, 'like_count': 41, 'quote_count': 0}",2020-12-31T02:01:36.000Z,1344463688275615745,,2020 https://t.co/sDAoSzriLw,"{'urls': [{'start': 5, 'end': 28, 'url': 'https://t.co/sDAoSzriLw', 'expanded_url': 'https://twitter.com/Jason/status/1344463688275615745/photo/1', 'display_url': 'pic.twitter.com/sDAoSzriLw'}]}"
4,"{'retweet_count': 23, 'reply_count': 23, 'like_count': 166, 'quote_count': 7}",2020-12-31T01:13:33.000Z,1344451593953968128,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '898262889378619392', 'name': 'Artificial intelligence', 'description': 'Artificial Intelligence'}}]","“When we lost control of the AI, and humans VS machines played out over and over and over again across the globe, there were some strange moments. None stranger than the ‘murder dance’ the robots did in victory”    https://t.co/1osmoljCEl","{'urls': [{'start': 215, 'end': 238, 'url': 'https://t.co/1osmoljCEl', 'expanded_url': 'https://twitter.com/JaseRuggy/status/1344057887212113920/video/1', 'display_url': 'pic.twitter.com/1osmoljCEl'}]}"
5,"{'retweet_count': 19918, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-12-31T01:06:39.000Z,1344449858661441538,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '909786236327411717', 'name': 'Mark Hamill', 'description': 'Mark Hamill'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '909786236327411717', 'name': 'Mark Hamill', 'description': 'Mark Hamill'}}]","RT @HamillHimself: Sometimes the greatest gifts are the most unexpected and something you never realized you wanted until it was given.

#T…","{'mentions': [{'start': 3, 'end': 17, 'username': 'HamillHimself'}]}"
6,"{'retweet_count': 0, 'reply_count': 13, 'like_count': 78, 'quote_count': 1}",2020-12-31T01:05:10.000Z,1344449485171118081,,Missing my besties — how about you? @theallinpod https://t.co/1P3WWKzrNa,"{'mentions': [{'start': 36, 'end': 48, 'username': 'theallinpod'}], 'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/1P3WWKzrNa', 'expanded_url': 'https://twitter.com/Jason/status/1344449485171118081/video/1', 'display_url': 'pic.twitter.com/1P3WWKzrNa'}]}"
7,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2020-12-30T21:46:10.000Z,1344399403176480769,,@michaelmiraflor @mattladydigital @holloway @SeedInvest https://t.co/nZJlVIbhk5 is 6x a year :-),"{'mentions': [{'start': 0, 'end': 16, 'username': 'michaelmiraflor'}, {'start': 17, 'end': 33, 'username': 'mattladydigital'}, {'start': 34, 'end': 43, 'username': 'holloway'}, {'start': 44, 'end': 55, 'username': 'SeedInvest'}], 'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/nZJlVIbhk5', 'expanded_url': 'http://angel.university', 'display_url': 'angel.university'}]}"
8,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-12-30T04:45:52.000Z,1344142636156776448,,@whoaapps what?!,"{'mentions': [{'start': 0, 'end': 9, 'username': 'whoaapps'}]}"
9,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-12-30T03:53:14.000Z,1344129393505914882,,"@netw3rk let’s be real... this is all Tibs and Woodson... this is a serious coaching staff that is demanding results and making folks fight for minutes. 

perfect execution four games in","{'annotations': [{'start': 38, 'end': 41, 'probability': 0.4412, 'type': 'Person', 'normalized_text': 'Tibs'}, {'start': 47, 'end': 53, 'probability': 0.9559, 'type': 'Person', 'normalized_text': 'Woodson'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'netw3rk'}]}"
