,public_metrics,created_at,id,text,entities,context_annotations
0,"{'retweet_count': 5, 'reply_count': 6, 'like_count': 265, 'quote_count': 1}",2020-12-31T04:53:29.000Z,1344506944187371522,@WallStPlayboys Truth.,"{'mentions': [{'start': 0, 'end': 15, 'username': 'WallStPlayboys'}]}",
1,"{'retweet_count': 10, 'reply_count': 11, 'like_count': 134, 'quote_count': 0}",2020-12-31T04:24:18.000Z,1344499599784857602,"@ToKTeacher The implications of Popperian / Deutsch philosophy - optimism, uncertainty, and unbounded growth - are unacceptable to the chattering classes.","{'mentions': [{'start': 0, 'end': 11, 'username': 'ToKTeacher'}]}",
2,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 57, 'quote_count': 0}",2020-12-31T03:32:33.000Z,1344486574772289536,@GIO5678901 Perhaps you didn’t actually read all six words in the original tweet.,"{'mentions': [{'start': 0, 'end': 11, 'username': 'GIO5678901'}]}",
3,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 118, 'quote_count': 0}",2020-12-31T03:20:44.000Z,1344483601593765888,@SvenSchnieders 🎯,"{'mentions': [{'start': 0, 'end': 15, 'username': 'SvenSchnieders'}]}",
4,"{'retweet_count': 466, 'reply_count': 242, 'like_count': 5898, 'quote_count': 69}",2020-12-30T22:14:34.000Z,1344406553617580033,It’s only a matter of time until the narrative-industrial complex comes after crypto.,,
5,"{'retweet_count': 51, 'reply_count': 23, 'like_count': 898, 'quote_count': 3}",2020-12-30T20:18:52.000Z,1344377435056349184,You can’t move a trust-network any more than you can transplant a forest.,,
6,"{'retweet_count': 381, 'reply_count': 89, 'like_count': 4249, 'quote_count': 29}",2020-12-30T20:17:27.000Z,1344377078662144001,"The tech industry goes where the entrepreneurs go, not the investors.

Today, that’s the SF Bay Area. 

Tomorrow, the Internet.","{'annotations': [{'start': 89, 'end': 99, 'probability': 0.3903, 'type': 'Place', 'normalized_text': 'SF Bay Area'}]}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857878402157629440', 'name': 'Investors and patents', 'description': 'Investors and patents'}}]"
7,"{'retweet_count': 356, 'reply_count': 58, 'like_count': 2655, 'quote_count': 13}",2020-12-30T20:07:05.000Z,1344374468659933184,"A mob doesn’t change its mind, but a market does it all the time. https://t.co/HVpILCuI8a","{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/HVpILCuI8a', 'expanded_url': 'https://twitter.com/naval/status/1289188707342249986', 'display_url': 'twitter.com/naval/status/1…'}]}",
8,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 39, 'quote_count': 1}",2020-12-30T20:01:08.000Z,1344372972388110336,@LearnEarnT_chMe 👌,"{'mentions': [{'start': 0, 'end': 16, 'username': 'LearnEarnT_chMe'}]}",
9,"{'retweet_count': 1, 'reply_count': 3, 'like_count': 51, 'quote_count': 0}",2020-12-30T19:56:41.000Z,1344371852190179330,@1Alewine I work for the market.,"{'mentions': [{'start': 0, 'end': 9, 'username': '1Alewine'}]}",
