,public_metrics,created_at,id,text,entities,context_annotations
0,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-12-31T01:43:04.000Z,1344459023811305472,@GustavKullberg Mystery.,"{'mentions': [{'start': 0, 'end': 15, 'username': 'GustavKullberg'}]}",
1,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 11, 'quote_count': 0}",2020-12-30T17:52:15.000Z,1344340536887570434,@davekammeyer The point is those who are highly connected yet have not been infected.,"{'mentions': [{'start': 0, 'end': 13, 'username': 'davekammeyer'}]}",
2,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",2020-12-30T17:35:04.000Z,1344336213948452864,@slamcrash77 @carlos_nyc Some situations allow for stents but more difficult for the ascending aorta.,"{'mentions': [{'start': 0, 'end': 12, 'username': 'slamcrash77'}, {'start': 13, 'end': 24, 'username': 'carlos_nyc'}]}",
3,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2020-12-30T14:36:33.000Z,1344291288552771587,@issamkayssi @hasanswe7de Mehrsi. N7na bnilfoz Amioun Amyowwn mn heik ma l2at-ta.,"{'mentions': [{'start': 0, 'end': 12, 'username': 'issamkayssi'}, {'start': 13, 'end': 25, 'username': 'hasanswe7de'}]}",
4,"{'retweet_count': 104, 'reply_count': 74, 'like_count': 522, 'quote_count': 9}",2020-12-30T12:26:38.000Z,1344258592422158338,"Most effective is to focus on 1) superspreaders (when they can be identified), 2)  integral of exposure over time (hospital workers) &amp; 3) vulnerability (older etc.), but (2) overlap with (1).
Current focus is on (2)&amp; (3), less optimal.
(1)&gt;&gt;&gt;(2)+(3) https://t.co/XkCzbO51qN","{'urls': [{'start': 267, 'end': 290, 'url': 'https://t.co/XkCzbO51qN', 'expanded_url': 'https://twitter.com/davidboxenhorn/status/1344255615540076545', 'display_url': 'twitter.com/davidboxenhorn…'}]}",
5,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",2020-12-30T12:22:14.000Z,1344257485767663617,@hasanswe7de ? Ana b' Amerka. Mn wén hal tfniss?,"{'mentions': [{'start': 0, 'end': 12, 'username': 'hasanswe7de'}]}",
6,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2020-12-30T11:32:50.000Z,1344245055587020800,RT @MKM_Abdul: @KeyPaganRush @WayneHimelsein Except such a hybrid distribution doesn’t make much sense as @nntaleb shows here:,"{'mentions': [{'start': 3, 'end': 13, 'username': 'MKM_Abdul'}, {'start': 15, 'end': 28, 'username': 'KeyPaganRush'}, {'start': 29, 'end': 44, 'username': 'WayneHimelsein'}, {'start': 106, 'end': 114, 'username': 'nntaleb'}]}",
7,"{'retweet_count': 350, 'reply_count': 56, 'like_count': 1556, 'quote_count': 45}",2020-12-29T22:44:54.000Z,1344051796302585858,"The New US Dietary Guidelines protecting sugar were negociated with lobbyists from the food industry!

This idiot Brandon Lipps overtly claims that sugar vendors are stakeholders! The USDA is saying that our health must be balanced against industry's.

https://t.co/yLGVmSGeBS https://t.co/MuiR1tOHHQ","{'annotations': [{'start': 114, 'end': 126, 'probability': 0.8045, 'type': 'Person', 'normalized_text': 'Brandon Lipps'}, {'start': 184, 'end': 187, 'probability': 0.6457, 'type': 'Organization', 'normalized_text': 'USDA'}], 'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/yLGVmSGeBS', 'expanded_url': 'https://www.wsj.com/articles/new-u-s-dietary-guidelines-reject-recommendation-to-cut-sugar-alcohol-intake-11609254000', 'display_url': 'wsj.com/articles/new-u…'}, {'start': 277, 'end': 300, 'url': 'https://t.co/MuiR1tOHHQ', 'expanded_url': 'https://twitter.com/nntaleb/status/1344051796302585858/photo/1', 'display_url': 'pic.twitter.com/MuiR1tOHHQ'}]}",
8,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2020-12-29T20:59:39.000Z,1344025308769497091,"@IronEconomist @razibkhan @Pragmatictakes @RichardHanania Nothing beats entropy for informational problems
.","{'mentions': [{'start': 0, 'end': 14, 'username': 'IronEconomist'}, {'start': 15, 'end': 25, 'username': 'razibkhan'}, {'start': 26, 'end': 41, 'username': 'Pragmatictakes'}, {'start': 42, 'end': 57, 'username': 'RichardHanania'}]}",
9,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",2020-12-29T20:51:17.000Z,1344023203212099585,"@razibkhan @Pragmatictakes @RichardHanania In our paper here (just published) it made a difference.

https://t.co/A65rh7isVQ","{'mentions': [{'start': 0, 'end': 10, 'username': 'razibkhan'}, {'start': 11, 'end': 26, 'username': 'Pragmatictakes'}, {'start': 27, 'end': 42, 'username': 'RichardHanania'}], 'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/A65rh7isVQ', 'expanded_url': 'https://www.nature.com/articles/s41431-020-00765-x', 'display_url': 'nature.com/articles/s4143…'}]}",
10,"{'retweet_count': 2, 'reply_count': 9, 'like_count': 68, 'quote_count': 4}",2020-12-29T20:48:31.000Z,1344022509943988228,@TheBondFreak @BlacklionCTA Don't bet on it.,"{'mentions': [{'start': 0, 'end': 13, 'username': 'TheBondFreak'}, {'start': 14, 'end': 27, 'username': 'BlacklionCTA'}]}",
11,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}",2020-12-29T20:46:20.000Z,1344021957793247232,"@razibkhan @Pragmatictakes @RichardHanania Razib and Richard, as I keep warning the distances are not to scale.

https://t.co/Ge143PmNML","{'annotations': [{'start': 43, 'end': 47, 'probability': 0.4654, 'type': 'Person', 'normalized_text': 'Razib'}, {'start': 53, 'end': 59, 'probability': 0.9669, 'type': 'Person', 'normalized_text': 'Richard'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'razibkhan'}, {'start': 11, 'end': 26, 'username': 'Pragmatictakes'}, {'start': 27, 'end': 42, 'username': 'RichardHanania'}], 'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/Ge143PmNML', 'expanded_url': 'https://www.academia.edu/41442347/Informational_Rescaling_of_PCA_Maps_with_Application_to_Genetics', 'display_url': 'academia.edu/41442347/Infor…'}]}",
12,"{'retweet_count': 52, 'reply_count': 18, 'like_count': 1107, 'quote_count': 4}",2020-12-29T20:38:38.000Z,1344020019919859712,"As salespeople say, a new customer is born every day. https://t.co/iiwBcjjG0h","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/iiwBcjjG0h', 'expanded_url': 'https://twitter.com/memento71228482/status/1344010941332148224', 'display_url': 'twitter.com/memento7122848…'}]}",
13,"{'retweet_count': 2, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}",2020-12-29T18:05:18.000Z,1343981434885853184,"@BIG_CAT_15 @Lapg32231003 No, this is the n=1 fallacy. Work out the probabilistic model before reciting fortune cookie formulas.","{'mentions': [{'start': 0, 'end': 11, 'username': 'BIG_CAT_15'}, {'start': 12, 'end': 25, 'username': 'Lapg32231003'}]}",
14,"{'retweet_count': 15, 'reply_count': 28, 'like_count': 191, 'quote_count': 5}",2020-12-29T17:54:43.000Z,1343978769313394689,"Friends, Hendrik Lundqvist has an identical twin brother. Any information about his aortic valve/root diameter expansion?
This would be yuuuge information about the effect of violent sports (and/or training) on the ascending aorta. https://t.co/g278J0bghz","{'annotations': [{'start': 9, 'end': 25, 'probability': 0.9675, 'type': 'Person', 'normalized_text': 'Hendrik Lundqvist'}], 'urls': [{'start': 232, 'end': 255, 'url': 'https://t.co/g278J0bghz', 'expanded_url': 'https://twitter.com/hlundqvist35/status/1343573976640061440', 'display_url': 'twitter.com/hlundqvist35/s…'}]}",
