,text,created_at,entities,id,public_metrics,context_annotations
0,@Abdul_Manan15 listen to any of my podcasts or read @zebulgar blogs or @melanter substack.  i explain it.,2020-12-31T02:45:58.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Abdul_Manan15'}, {'start': 52, 'end': 61, 'username': 'zebulgar'}, {'start': 71, 'end': 80, 'username': 'melanter'}]}",1344474852401377282,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",
1,@Abdul_Manan15 they aren’t typically the people we want.,2020-12-31T02:12:24.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Abdul_Manan15'}]}",1344466406293684225,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
2,@deanmcevoy @NaveenGRao @startmate @blackbirdvc @airtreevc @SquarePegCap i am actively connected to two of the three.,2020-12-30T23:12:41.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'deanmcevoy'}, {'start': 12, 'end': 23, 'username': 'NaveenGRao'}, {'start': 24, 'end': 34, 'username': 'startmate'}, {'start': 35, 'end': 47, 'username': 'blackbirdvc'}, {'start': 48, 'end': 58, 'username': 'airtreevc'}, {'start': 59, 'end': 72, 'username': 'SquarePegCap'}]}",1344421176265723905,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",
3,@deanmcevoy @NaveenGRao @startmate two different tours organized by Australia funds.,2020-12-30T23:00:01.000Z,"{'annotations': [{'start': 68, 'end': 76, 'probability': 0.9195, 'type': 'Place', 'normalized_text': 'Australia'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'deanmcevoy'}, {'start': 12, 'end': 23, 'username': 'NaveenGRao'}, {'start': 24, 'end': 34, 'username': 'startmate'}]}",1344417988779229185,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
4,@deanmcevoy @NaveenGRao i hosted 50 Australian startups in SF in 2018.,2020-12-30T22:58:18.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'deanmcevoy'}, {'start': 12, 'end': 23, 'username': 'NaveenGRao'}]}",1344417557814525952,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '849075881653846016', 'name': 'Startups', 'description': 'Startups'}}]"
5,@deanmcevoy @NaveenGRao I love Australian startups.  I was scheduled to meet a bunch of them for a week in August before Covid canceled it.,2020-12-30T22:48:22.000Z,"{'annotations': [{'start': 121, 'end': 125, 'probability': 0.2465, 'type': 'Place', 'normalized_text': 'Covid'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'deanmcevoy'}, {'start': 12, 'end': 23, 'username': 'NaveenGRao'}]}",1344415057887674368,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847529762566230016', 'name': 'Business and finance', 'description': 'Business'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '849075881653846016', 'name': 'Startups', 'description': 'Startups'}}]"
6,@deanmcevoy @NaveenGRao every day:),2020-12-30T22:27:03.000Z,"{'mentions': [{'start': 0, 'end': 11, 'username': 'deanmcevoy'}, {'start': 12, 'end': 23, 'username': 'NaveenGRao'}]}",1344409693360308225,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
7,"@pt unfortunately, Madonna was my last musical comparison:)",2020-12-30T21:06:23.000Z,"{'annotations': [{'start': 19, 'end': 25, 'probability': 0.9876, 'type': 'Person', 'normalized_text': 'Madonna'}], 'mentions': [{'start': 0, 'end': 3, 'username': 'pt'}]}",1344389394355032064,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",
8,@pt it is humor which is actually allowed in Florida.,2020-12-30T21:02:18.000Z,"{'annotations': [{'start': 45, 'end': 51, 'probability': 0.9971, 'type': 'Place', 'normalized_text': 'Florida'}], 'mentions': [{'start': 0, 'end': 3, 'username': 'pt'}]}",1344388366884720640,"{'retweet_count': 0, 'reply_count': 4, 'like_count': 34, 'quote_count': 0}",
9,@eladgil The New York Times:),2020-12-30T20:50:05.000Z,"{'annotations': [{'start': 13, 'end': 26, 'probability': 0.4742, 'type': 'Organization', 'normalized_text': 'New York Times'}], 'mentions': [{'start': 0, 'end': 8, 'username': 'eladgil'}]}",1344385291285528577,"{'retweet_count': 2, 'reply_count': 5, 'like_count': 92, 'quote_count': 0}","[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040666972', 'name': 'The New York Times'}}]"
10,@gokulr choose better board members when deciding who to raise $ from :),2020-12-30T20:35:46.000Z,"{'mentions': [{'start': 0, 'end': 7, 'username': 'gokulr'}]}",1344381686922969089,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 34, 'quote_count': 0}",
11,@BillyCorben 100% false.  Delete your account.,2020-12-30T20:34:04.000Z,"{'mentions': [{'start': 0, 'end': 12, 'username': 'BillyCorben'}]}",1344381259011657729,"{'retweet_count': 0, 'reply_count': 10, 'like_count': 7, 'quote_count': 1}",
