,context_annotations,created_at,id,public_metrics,entities,text
0,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]",2020-12-31T16:32:41.000Z,1344682903054258177,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 38, 'end': 53, 'probability': 0.7987, 'type': 'Organization', 'normalized_text': 'Republican party'}, {'start': 93, 'end': 97, 'probability': 0.9927, 'type': 'Person', 'normalized_text': 'Trump'}]}","Prediction:  Now that the core of the Republican party is blue collar workers, and they (and Trump) have moved the party economically left, the 2024 Republican candidate will probably support unions and minimum wage, to appease the new base."
1,,2020-12-31T16:28:25.000Z,1344681830067404800,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 44, 'end': 67, 'url': 'https://t.co/D0VQJEGwmp', 'expanded_url': 'https://www.amazon.com/10-Less-Democracy-Should-Elites/dp/1503603571/', 'display_url': 'amazon.com/10-Less-Democr…'}]}",Anyone read this book?  Looks interesting.  https://t.co/D0VQJEGwmp
2,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '877341717455749120', 'name': 'Ben Sasse', 'description': 'Senator Ben Sasse (NE)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '877341717455749120', 'name': 'Ben Sasse', 'description': 'Senator Ben Sasse (NE)'}}]",2020-12-31T16:28:15.000Z,1344681786694053890,"{'retweet_count': 1755, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 12, 'username': 'SenSasse'}], 'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/z8niiPle3q', 'expanded_url': 'https://www.facebook.com/SenatorSasse/posts/3517705981660655', 'display_url': 'facebook.com/SenatorSasse/p…'}]}",RT @SenSasse: Why I Will Not Participate in a Project to Overturn the Election: https://t.co/z8niiPle3q
3,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}]",2020-12-30T14:50:00.000Z,1344294672349483009,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","{'annotations': [{'start': 42, 'end': 46, 'probability': 0.9989, 'type': 'Person', 'normalized_text': 'Trump'}, {'start': 104, 'end': 108, 'probability': 0.9986, 'type': 'Person', 'normalized_text': 'Trump'}], 'urls': [{'start': 188, 'end': 211, 'url': 'https://t.co/9k4yGreW5U', 'expanded_url': 'https://thehill.com/homenews/campaign/532042-georgia-signature-audit-finds-no-fraud-in-presidential-election', 'display_url': 'thehill.com/homenews/campa…'}]}",GA does the signature matching audit that Trump claimed would find massive fraud.  It found not fraud.  Trump continues to lose bigly.  Definitely setting records for failure and losing.  https://t.co/9k4yGreW5U
4,,2020-12-29T21:32:14.000Z,1344033510806401026,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 9, 'username': 'droskill'}]}",@droskill My workflow relies heavily on external monitors.  I can't work on laptop screens.  So I try to connect to external ones wherever I go
5,,2020-12-29T20:47:30.000Z,1344022253130887174,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 9, 'username': 'droskill'}]}","@droskill I carry 3.  One is a USB hub, one extender, and one that does HDMI and VGA.  That covers me most of the time, but, it doesn't work as well, particularly for external monitors, using all the connectors."
6,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029202045', 'name': 'Facebook'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597251964928', 'name': 'Car Rental/Sharing'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026378521', 'name': 'Google '}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040709681', 'name': 'Uber'}}]",2020-12-29T20:45:52.000Z,1344021841397096451,"{'retweet_count': 2, 'reply_count': 3, 'like_count': 8, 'quote_count': 0}","{'annotations': [{'start': 52, 'end': 61, 'probability': 0.73, 'type': 'Place', 'normalized_text': 'Burlingame'}, {'start': 101, 'end': 114, 'probability': 0.8069, 'type': 'Place', 'normalized_text': 'Silicon Valley'}, {'start': 235, 'end': 238, 'probability': 0.7143, 'type': 'Organization', 'normalized_text': 'Uber'}, {'start': 241, 'end': 248, 'probability': 0.494, 'type': 'Product', 'normalized_text': 'Facebook'}, {'start': 251, 'end': 255, 'probability': 0.5985, 'type': 'Organization', 'normalized_text': 'Apple'}, {'start': 262, 'end': 267, 'probability': 0.6958, 'type': 'Product', 'normalized_text': 'Google'}], 'urls': [{'start': 270, 'end': 293, 'url': 'https://t.co/X5qfF2zSoR', 'expanded_url': 'https://twitter.com/rabois/status/1344007284704210944', 'display_url': 'twitter.com/rabois/status/…'}]}","In 2015 after selling Backupify I rented a house in Burlingame for the summer and planned to move to Silicon Valley.  Most of the VCs I spoke with that summer said don't do it.  The main reason was difficulty  hiring talent because of Uber, Facebook, Apple, and Google. https://t.co/X5qfF2zSoR"
7,,2020-12-29T16:13:52.000Z,1343953390452281349,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 14, 'username': 'lolitataub'}], 'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/kohMcLIaHd', 'expanded_url': 'https://twitter.com/christenobrien/status/1343587319698223104', 'display_url': 'twitter.com/christenobrien…'}]}",RT @lolitataub: 😂 https://t.co/kohMcLIaHd
8,,2020-12-29T16:13:36.000Z,1343953324471709701,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 14, 'quote_count': 0}","{'annotations': [{'start': 5, 'end': 9, 'probability': 0.6297, 'type': 'Organization', 'normalized_text': 'Apple'}]}",Dear Apple.  Having to carry a bunch of extra adapters with me everywhere is not the paragon of simplicity and usability.  It's the paragon of annoying.
9,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847544972781826048', 'name': 'Careers', 'description': 'Careers'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '961961812492148736', 'name': 'Recruitment', 'description': 'Recruitment'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1046567715022856192', 'name': 'Venture capital', 'description': 'Venture Capital'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809849114074546176', 'name': 'Dwyane Wade'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '809849114074546176', 'name': 'Dwyane Wade'}}]",2020-12-29T14:33:21.000Z,1343928094319665159,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 10, 'username': 'rabois'}], 'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/bZ7LnLGKCW', 'expanded_url': 'https://twitter.com/RamiReyesVC/status/1343553728314531840', 'display_url': 'twitter.com/RamiReyesVC/st…'}]}",RT @rabois: Everyday we will have new recruits.  Wait until you see what is in store for January! https://t.co/bZ7LnLGKCW
