,created_at,public_metrics,entities,text,id,context_annotations
0,2020-12-19T06:49:57.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'hashtags': [{'start': 85, 'end': 94, 'tag': 'mmhmmapp'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'mmhmmapp'}]}","RT @mmhmmapp: We thought presentations were getting stale, so we spiced them up with #mmhmmapp
Get your free 7-day premium trial at https:/…",1340187596484329472,
1,2020-12-12T04:30:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 8, 'username': 'comcast'}, {'start': 24, 'end': 32, 'username': 'comcast'}]}",@comcast Even better if @comcast doesn’t have multi hour outages ....,1337615719752638464,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596165640192', 'name': 'Telco'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026876715', 'name': 'Comcast'}}]"
2,2020-12-09T06:52:43.000Z,"{'retweet_count': 41, 'reply_count': 18, 'like_count': 522, 'quote_count': 6}","{'annotations': [{'start': 15, 'end': 24, 'probability': 0.9989, 'type': 'Place', 'normalized_text': 'Sacramento'}, {'start': 87, 'end': 96, 'probability': 0.9605, 'type': 'Place', 'normalized_text': 'California'}], 'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/tMOvtbVphq', 'expanded_url': 'https://twitter.com/DavidSacks/status/1336550242473238528', 'display_url': 'twitter.com/DavidSacks/sta…'}]}",Politicians in Sacramento continue to downplay the risk of an exodus at their own (and California‘a) peril https://t.co/tMOvtbVphq,1336564417215926272,
3,2020-11-24T21:22:48.000Z,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 58, 'quote_count': 2}","{'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/CsJ4t0u6cQ', 'expanded_url': 'https://donate.wikimedia.org/?utm_medium=SocialMedia&utm_campaign=ThankYouPage&utm_source=Twitter&uselang=en', 'display_url': 'donate.wikimedia.org/?utm_medium=So…'}], 'hashtags': [{'start': 54, 'end': 69, 'tag': 'iloveWikipedia'}], 'mentions': [{'start': 18, 'end': 28, 'username': 'Wikipedia'}]}",I just donated to @Wikipedia. Support free knowledge! #iloveWikipedia https://t.co/CsJ4t0u6cQ,1331347560225669120,
4,2020-11-13T23:17:09.000Z,"{'retweet_count': 77, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 42, 'end': 44, 'probability': 0.4859, 'type': 'Product', 'normalized_text': 'Mac'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'mmhmmapp'}]}",RT @mmhmmapp: This is it! Today mmhmm for Mac is launching into the world. Now you’ll no longer need an invite to create magical video pres…,1327390070685396992,
5,2020-11-13T23:16:51.000Z,"{'retweet_count': 7, 'reply_count': 1, 'like_count': 59, 'quote_count': 2}","{'annotations': [{'start': 124, 'end': 130, 'probability': 0.4707, 'type': 'Person', 'normalized_text': 'Expanse'}, {'start': 143, 'end': 151, 'probability': 0.9885, 'type': 'Person', 'normalized_text': 'Tim Junio'}, {'start': 157, 'end': 168, 'probability': 0.9848, 'type': 'Person', 'normalized_text': 'Matt Kraning'}], 'urls': [{'start': 171, 'end': 194, 'url': 'https://t.co/pqE7mihnJ1', 'expanded_url': 'https://expanse.co/blog/palo-alto-networks-announces-intent-to-acquire-expanse/', 'display_url': 'expanse.co/blog/palo-alto…'}], 'mentions': [{'start': 19, 'end': 33, 'username': 'PaloAltoNtwks'}, {'start': 38, 'end': 49, 'username': 'Expanseinc'}, {'start': 94, 'end': 108, 'username': 'shaunmmaguire'}]}","Congratulations to @PaloAltoNtwks and @expanseinc on joining forces, and to my fellow partner @shaunmmaguire who co-founded Expanse along with Tim Junio and Matt Kraning. https://t.co/pqE7mihnJ1",1327389996723048448,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043154678', 'name': 'Palo Alto Networks'}}]"
6,2020-11-11T06:36:33.000Z,"{'retweet_count': 29, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 36, 'end': 40, 'probability': 0.5724, 'type': 'Organization', 'normalized_text': 'Apple'}, {'start': 114, 'end': 118, 'probability': 0.5332, 'type': 'Organization', 'normalized_text': 'Apple'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'mmhmmapp'}]}","RT @mmhmmapp: So cool to be part of Apple's event today.

Our appearance showcased a special feature we built for Apple’s new M1-powered Ma…",1326413488122712064,
7,2020-11-04T21:58:00.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 32, 'quote_count': 0}","{'annotations': [{'start': 120, 'end': 124, 'probability': 0.9835, 'type': 'Person', 'normalized_text': 'David'}], 'urls': [{'start': 145, 'end': 168, 'url': 'https://t.co/ry1inf04cx', 'expanded_url': 'https://thetwentyminutevc.com/davidhelgason-2/', 'display_url': 'thetwentyminutevc.com/davidhelgason-…'}], 'mentions': [{'start': 10, 'end': 25, 'username': 'twentyminutevc'}, {'start': 39, 'end': 53, 'username': 'davidhelgason'}, {'start': 75, 'end': 83, 'username': 'unity3d'}]}",Excellent @twentyminutevc episode with @davidhelgason on the early days at @unity3d. It's been a privilege working with David for over a decade! https://t.co/ry1inf04cx,1324108661690544128,
8,2020-10-27T05:04:04.000Z,"{'retweet_count': 24, 'reply_count': 9, 'like_count': 177, 'quote_count': 13}","{'annotations': [{'start': 110, 'end': 122, 'probability': 0.3695, 'type': 'Person', 'normalized_text': 'Don Valentine'}], 'urls': [{'start': 188, 'end': 211, 'url': 'https://t.co/2mtk1VNFBt', 'expanded_url': 'https://thetwentyminutevc.com/roelofbotha/', 'display_url': 'thetwentyminutevc.com/roelofbotha/'}, {'start': 212, 'end': 235, 'url': 'https://t.co/EgFX7pNaSz', 'expanded_url': 'https://twitter.com/roelofbotha/status/1320954393252950016/video/1', 'display_url': 'pic.twitter.com/EgFX7pNaSz'}], 'mentions': [{'start': 10, 'end': 25, 'username': 'HarryStebbings'}, {'start': 43, 'end': 58, 'username': 'twentyminutevc'}, {'start': 99, 'end': 107, 'username': 'sequoia'}]}","Thank you @HarryStebbings for having me on @twentyminutevc. Here's one of my favorite lessons from @sequoia's Don Valentine that I apply whenever I meet a  founder.  
 
Full episode here: https://t.co/2mtk1VNFBt https://t.co/EgFX7pNaSz",1320954393252950016,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1037320960737595393', 'name': 'Sequoia Capital', 'description': 'Sequoia Capital'}}]"
9,2020-10-18T03:08:46.000Z,"{'retweet_count': 25, 'reply_count': 20, 'like_count': 124, 'quote_count': 7}","{'annotations': [{'start': 4, 'end': 13, 'probability': 0.8635, 'type': 'Place', 'normalized_text': 'California'}], 'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/bUYAeBTSi4', 'expanded_url': 'https://www.forbes.com/sites/adamandrzejewski/2020/05/19/why-california-is-in-trouble--340000-public-employees-with-100000-paychecks-cost-taxpayers-45-billion/', 'display_url': 'forbes.com/sites/adamandr…'}]}","Why California Is In Trouble – 340,000 Public Employees With $100,000+ Paychecks Cost Taxpayers $45 Billion https://t.co/bUYAeBTSi4",1317663887659999232,
